pattern,agent_id,agent,day,shift_id,start,end,paid_hours,on_phone_intervals,break_intervals,overnight
continuous_247,14,AGT-015,Fri,Fri_FT8_0000,00:00,08:30,8.0,30,4,True
continuous_247,95,AGT-096,Fri,Fri_FT8_0000,00:00,08:30,8.0,30,4,True
continuous_247,108,AGT-109,Fri,Fri_FT8_0000,00:00,08:30,8.0,30,4,True
continuous_247,110,AGT-111,Fri,Fri_FT8_0000,00:00,08:30,8.0,30,4,True
continuous_247,6,AGT-007,Fri,Fri_FT8_0400,04:00,12:30,8.0,30,4,True
continuous_247,17,AGT-018,Fri,Fri_FT8_0400,04:00,12:30,8.0,30,4,True
continuous_247,18,AGT-019,Fri,Fri_FT8_0400,04:00,12:30,8.0,30,4,True
continuous_247,20,AGT-021,Fri,Fri_FT8_0400,04:00,12:30,8.0,30,4,True
continuous_247,21,AGT-022,Fri,Fri_FT8_0400,04:00,12:30,8.0,30,4,True
continuous_247,30,AGT-031,Fri,Fri_FT8_0400,04:00,12:30,8.0,30,4,True
continuous_247,36,AGT-037,Fri,Fri_FT8_0400,04:00,12:30,8.0,30,4,True
continuous_247,46,AGT-047,Fri,Fri_FT8_0400,04:00,12:30,8.0,30,4,True
continuous_247,47,AGT-048,Fri,Fri_FT8_0400,04:00,12:30,8.0,30,4,True
continuous_247,57,AGT-058,Fri,Fri_FT8_0400,04:00,12:30,8.0,30,4,True
continuous_247,66,AGT-067,Fri,Fri_FT8_0400,04:00,12:30,8.0,30,4,True
continuous_247,71,AGT-072,Fri,Fri_FT8_0400,04:00,12:30,8.0,30,4,True
continuous_247,101,AGT-102,Fri,Fri_FT8_0400,04:00,12:30,8.0,30,4,True
continuous_247,102,AGT-103,Fri,Fri_FT8_0400,04:00,12:30,8.0,30,4,True
continuous_247,112,AGT-113,Fri,Fri_FT8_0400,04:00,12:30,8.0,30,4,True
continuous_247,0,AGT-001,Fri,Fri_FT8_0700,07:00,15:30,8.0,30,4,False
continuous_247,10,AGT-011,Fri,Fri_FT8_0700,07:00,15:30,8.0,30,4,False
continuous_247,19,AGT-020,Fri,Fri_FT8_0700,07:00,15:30,8.0,30,4,False
continuous_247,29,AGT-030,Fri,Fri_FT8_0700,07:00,15:30,8.0,30,4,False
continuous_247,34,AGT-035,Fri,Fri_FT8_0700,07:00,15:30,8.0,30,4,False
continuous_247,56,AGT-057,Fri,Fri_FT8_0700,07:00,15:30,8.0,30,4,False
continuous_247,67,AGT-068,Fri,Fri_FT8_0700,07:00,15:30,8.0,30,4,False
continuous_247,76,AGT-077,Fri,Fri_FT8_0700,07:00,15:30,8.0,30,4,False
continuous_247,87,AGT-088,Fri,Fri_FT8_0700,07:00,15:30,8.0,30,4,False
continuous_247,90,AGT-091,Fri,Fri_FT8_0700,07:00,15:30,8.0,30,4,False
continuous_247,92,AGT-093,Fri,Fri_FT8_0700,07:00,15:30,8.0,30,4,False
continuous_247,94,AGT-095,Fri,Fri_FT8_0700,07:00,15:30,8.0,30,4,False
continuous_247,114,AGT-115,Fri,Fri_PT6_0700,07:00,13:30,6.0,22,4,False
continuous_247,116,AGT-117,Fri,Fri_PT6_0700,07:00,13:30,6.0,22,4,False
continuous_247,117,AGT-118,Fri,Fri_PT6_0700,07:00,13:30,6.0,22,4,False
continuous_247,120,AGT-121,Fri,Fri_PT6_0700,07:00,13:30,6.0,22,4,False
continuous_247,121,AGT-122,Fri,Fri_PT6_0700,07:00,13:30,6.0,22,4,False
continuous_247,122,AGT-123,Fri,Fri_PT6_0700,07:00,13:30,6.0,22,4,False
continuous_247,128,AGT-129,Fri,Fri_PT6_0700,07:00,13:30,6.0,22,4,False
continuous_247,129,AGT-130,Fri,Fri_PT4_0700,07:00,11:00,4.0,15,1,False
continuous_247,130,AGT-131,Fri,Fri_PT6_0700,07:00,13:30,6.0,22,4,False
continuous_247,133,AGT-134,Fri,Fri_PT6_0700,07:00,13:30,6.0,22,4,False
continuous_247,135,AGT-136,Fri,Fri_PT6_0700,07:00,13:30,6.0,22,4,False
continuous_247,138,AGT-139,Fri,Fri_PT6_0700,07:00,13:30,6.0,22,4,False
continuous_247,141,AGT-142,Fri,Fri_PT6_0700,07:00,13:30,6.0,22,4,False
continuous_247,143,AGT-144,Fri,Fri_PT6_0700,07:00,13:30,6.0,22,4,False
continuous_247,144,AGT-145,Fri,Fri_PT6_0700,07:00,13:30,6.0,22,4,False
continuous_247,145,AGT-146,Fri,Fri_PT6_0700,07:00,13:30,6.0,22,4,False
continuous_247,149,AGT-150,Fri,Fri_PT6_0700,07:00,13:30,6.0,22,4,False
continuous_247,3,AGT-004,Fri,Fri_FT8_0900,09:00,17:30,8.0,30,4,False
continuous_247,8,AGT-009,Fri,Fri_FT8_0900,09:00,17:30,8.0,30,4,False
continuous_247,11,AGT-012,Fri,Fri_FT8_0900,09:00,17:30,8.0,30,4,False
continuous_247,28,AGT-029,Fri,Fri_FT8_0900,09:00,17:30,8.0,30,4,False
continuous_247,31,AGT-032,Fri,Fri_FT8_0900,09:00,17:30,8.0,30,4,False
continuous_247,33,AGT-034,Fri,Fri_FT8_0900,09:00,17:30,8.0,30,4,False
continuous_247,37,AGT-038,Fri,Fri_FT8_0900,09:00,17:30,8.0,30,4,False
continuous_247,43,AGT-044,Fri,Fri_FT8_0900,09:00,17:30,8.0,30,4,False
